홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(8.78, 7.64, 37.92)
(9.52, 6.74, 37.65)
(10.25, 5.84, 37.28)
(10.98, 4.94, 36.81)
(11.71, 4.04, 36.24)
(12.44, 3.14, 35.58)
(13.18, 2.24, 34.82)
(13.91, 1.34, 33.96)
(14.64, 0.44, 33.00)
(15.37, -0.46, 31.94)
(16.10, -1.36, 30.79)
(16.84, -2.26, 29.53)
(17.57, -3.16, 28.18)
(18.30, -4.06, 26.73)
(19.03, -4.96, 25.19)
(19.77, -5.86, 23.54)
(20.50, -6.76, 21.80)
(21.23, -7.66, 19.96)
(21.96, -8.56, 18.02)
(22.69, -9.46, 15.98)
(23.43, -10.36, 13.85)
(24.16, -11.26, 11.62)
(24.89, -12.16, 9.29)
(25.62, -13.06, 6.86)
(26.35, -13.96, 4.33)
(27.09, -14.86, 1.71)
(27.82, -15.76, -1.02)

2. 속도 비율 x 방향 0.02, y 방향 0.97, z 방향 0.01 최종 속력
156km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.45)
(1.47, 16.64, 35.25)
(2.21, 15.74, 35.95)
(2.94, 14.85, 36.55)
(3.68, 13.95, 37.06)
(4.42, 13.05, 37.47)
(5.15, 12.15, 37.78)
(5.89, 11.25, 37.99)
(6.63, 10.35, 38.10)
(7.36, 9.45, 38.12)
(8.10, 8.56, 38.03)
(8.83, 7.66, 37.85)
(9.57, 6.76, 37.58)
(10.31, 5.86, 37.20)
(11.04, 4.96, 36.72)
(11.78, 4.06, 36.15)
(12.51, 3.16, 35.48)
(13.25, 2.27, 34.71)
(13.99, 1.37, 33.85)
(14.72, 0.47, 32.88)
(15.46, -0.43, 31.82)
(16.20, -1.33, 30.66)
(16.93, -2.23, 29.40)
(17.67, -3.13, 28.05)
(18.40, -4.03, 26.59)
(19.14, -4.92, 25.04)
(19.88, -5.82, 23.39)
(20.61, -6.72, 21.64)
(21.35, -7.62, 19.79)
(22.08, -8.52, 17.85)
(22.82, -9.42, 15.81)
(23.56, -10.32, 13.67)
(24.29, -11.21, 11.43)
(25.03, -12.11, 9.09)
(25.77, -13.01, 6.66)
(26.50, -13.91, 4.13)
(27.24, -14.81, 1.50)
(27.97, -15.71, -1.23)

155km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.45)
(1.47, 16.64, 35.25)
(2.21, 15.74, 35.95)
(2.94, 14.85, 36.55)
(3.68, 13.95, 37.06)
(4.41, 13.05, 37.46)
(5.15, 12.15, 37.77)
(5.88, 11.25, 37.98)
(6.62, 10.35, 38.10)
(7.35, 9.45, 38.11)
(8.09, 8.55, 38.03)
(8.82, 7.66, 37.85)
(9.56, 6.76, 37.57)
(10.29, 5.86, 37.19)
(11.03, 4.96, 36.72)
(11.76, 4.06, 36.15)
(12.50, 3.16, 35.47)
(13.23, 2.26, 34.71)
(13.97, 1.37, 33.84)
(14.70, 0.47, 32.87)
(15.44, -0.43, 31.81)
(16.17, -1.33, 30.65)
(16.91, -2.23, 29.39)
(17.64, -3.13, 28.03)
(18.38, -4.03, 26.58)
(19.11, -4.93, 25.03)
(19.85, -5.82, 23.38)
(20.58, -6.72, 21.63)
(21.32, -7.62, 19.78)
(22.05, -8.52, 17.84)
(22.79, -9.42, 15.79)
(23.52, -10.32, 13.65)
(24.26, -11.22, 11.41)
(24.99, -12.12, 9.08)
(25.73, -13.01, 6.64)
(26.46, -13.91, 4.11)
(27.20, -14.81, 1.48)
(27.93, -15.71, -1.25)

154km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.45)
(1.47, 16.64, 35.25)
(2.20, 15.74, 35.95)
(2.94, 14.84, 36.55)
(3.67, 13.95, 37.05)
(4.40, 13.05, 37.46)
(5.14, 12.15, 37.77)
(5.87, 11.25, 37.98)
(6.61, 10.35, 38.09)
(7.34, 9.45, 38.11)
(8.07, 8.55, 38.02)
(8.81, 7.65, 37.84)
(9.54, 6.76, 37.56)
(10.27, 5.86, 37.19)
(11.01, 4.96, 36.71)
(11.74, 4.06, 36.14)
(12.48, 3.16, 35.47)
(13.21, 2.26, 34.70)
(13.94, 1.36, 33.83)
(14.68, 0.46, 32.86)
(15.41, -0.43, 31.80)
(16.15, -1.33, 30.64)
(16.88, -2.23, 29.38)
(17.61, -3.13, 28.02)
(18.35, -4.03, 26.57)
(19.08, -4.93, 25.02)
(19.82, -5.83, 23.36)
(20.55, -6.73, 21.61)
(21.28, -7.62, 19.77)
(22.02, -8.52, 17.82)
(22.75, -9.42, 15.78)
(23.48, -10.32, 13.64)
(24.22, -11.22, 11.40)
(24.95, -12.12, 9.06)
(25.69, -13.02, 6.63)
(26.42, -13.92, 4.09)
(27.15, -14.81, 1.46)
(27.89, -15.71, -1.27)

153km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.45)
(1.47, 16.64, 35.24)
(2.20, 15.74, 35.94)
(2.93, 14.84, 36.55)
(3.66, 13.95, 37.05)
(4.40, 13.05, 37.46)
(5.13, 12.15, 37.77)
(5.86, 11.25, 37.98)
(6.59, 10.35, 38.09)
(7.33, 9.45, 38.10)
(8.06, 8.55, 38.02)
(8.79, 7.65, 37.84)
(9.53, 6.76, 37.56)
(10.26, 5.86, 37.18)
(10.99, 4.96, 36.70)
(11.72, 4.06, 36.13)
(12.46, 3.16, 35.46)
(13.19, 2.26, 34.69)
(13.92, 1.36, 33.82)
(14.65, 0.46, 32.86)
(15.39, -0.44, 31.79)
(16.12, -1.33, 30.63)
(16.85, -2.23, 29.37)
(17.59, -3.13, 28.01)
(18.32, -4.03, 26.56)
(19.05, -4.93, 25.00)
(19.78, -5.83, 23.35)
(20.52, -6.73, 21.60)
(21.25, -7.63, 19.75)
(21.98, -8.52, 17.81)
(22.72, -9.42, 15.76)
(23.45, -10.32, 13.62)
(24.18, -11.22, 11.38)
(24.91, -12.12, 9.05)
(25.65, -13.02, 6.61)
(26.38, -13.92, 4.08)
(27.11, -14.82, 1.44)
(27.84, -15.72, -1.29)

152km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.45)
(1.46, 16.64, 35.24)
(2.19, 15.74, 35.94)
(2.93, 14.84, 36.55)
(3.66, 13.95, 37.05)
(4.39, 13.05, 37.45)
(5.12, 12.15, 37.76)
(5.85, 11.25, 37.97)
(6.58, 10.35, 38.08)
(7.32, 9.45, 38.10)
(8.05, 8.55, 38.01)
(8.78, 7.65, 37.83)
(9.51, 6.75, 37.55)
(10.24, 5.86, 37.17)
(10.97, 4.96, 36.70)
(11.71, 4.06, 36.12)
(12.44, 3.16, 35.45)
(13.17, 2.26, 34.68)
(13.90, 1.36, 33.81)
(14.63, 0.46, 32.85)
(15.36, -0.44, 31.78)
(16.09, -1.34, 30.62)
(16.83, -2.23, 29.36)
(17.56, -3.13, 28.00)
(18.29, -4.03, 26.55)
(19.02, -4.93, 24.99)
(19.75, -5.83, 23.34)
(20.48, -6.73, 21.59)
(21.22, -7.63, 19.74)
(21.95, -8.53, 17.79)
(22.68, -9.43, 15.75)
(23.41, -10.33, 13.61)
(24.14, -11.22, 11.37)
(24.87, -12.12, 9.03)
(25.61, -13.02, 6.59)
(26.34, -13.92, 4.06)
(27.07, -14.82, 1.43)
(27.80, -15.72, -1.30)

151km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.45)
(1.46, 16.64, 35.24)
(2.19, 15.74, 35.94)
(2.92, 14.84, 36.54)
(3.65, 13.95, 37.05)
(4.38, 13.05, 37.45)
(5.11, 12.15, 37.76)
(5.84, 11.25, 37.97)
(6.57, 10.35, 38.08)
(7.30, 9.45, 38.09)
(8.03, 8.55, 38.01)
(8.77, 7.65, 37.83)
(9.50, 6.75, 37.55)
(10.23, 5.85, 37.17)
(10.96, 4.96, 36.69)
(11.69, 4.06, 36.12)
(12.42, 3.16, 35.44)
(13.15, 2.26, 34.67)
(13.88, 1.36, 33.80)
(14.61, 0.46, 32.84)
(15.34, -0.44, 31.77)
(16.07, -1.34, 30.61)
